temp,year,var,model,scenario,ens,yrs,regrid
289.819458,2087,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
290.1061401,2088,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
290.0499878,2089,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.8673401,2090,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.9427795,2091,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.9046631,2092,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
290.0389404,2093,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
290.0192566,2094,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.9368286,2095,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
290.0220032,2096,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
290.0580139,2097,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
290.0826416,2098,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
290.1044312,2099,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
290.0202332,2100,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
288.0762634,2006,tas,bcc-csm1-1,rcp45,r1i1p1,2006-2300,r360x180.nc
288.2202454,2007,tas,bcc-csm1-1,rcp45,r1i1p1,2006-2300,r360x180.nc
288.3178711,2008,tas,bcc-csm1-1,rcp45,r1i1p1,2006-2300,r360x180.nc
